date,stage,team_a,team_b,actual_score,pred_score,xg_a,xg_b,p_a,p_draw,p_b,pred_90,actual_90,hit_90,exact_hit,rps,brier,logloss,abs_err_a,abs_err_b,p_advance_a,pred_winner,actual_winner,advance_hit,advance_brier,advance_logloss
2026-06-20,group,Germany,Ivory Coast,2-1,1-1,1.4558,0.9235,0.4789,0.2982,0.2229,H,H,1,0.0,0.1606,0.4102,0.7363,0.5442,0.0765,,,,,,
2026-06-20,group,Ecuador,Curaçao,0-0,2-0,1.9512,0.3879,0.7421,0.2034,0.0545,H,D,0,0.0,0.2769,1.1883,1.5927,1.9512,0.3879,,,,,,
2026-06-20,group,Netherlands,Sweden,5-1,1-1,2.0697,0.9676,0.6154,0.2292,0.1553,H,H,1,0.0,0.086,0.2246,0.4854,2.9303,0.0324,,,,,,
2026-06-20,group,Japan,Tunisia,4-0,1-0,1.6294,0.5029,0.6392,0.2628,0.098,H,H,1,0.0,0.0699,0.2089,0.4476,2.3706,0.5029,,,,,,
2026-06-21,group,Belgium,Iran,0-0,1-1,1.3177,1.0007,0.4219,0.3116,0.2665,H,D,0,0.0,0.1245,0.723,1.1661,1.3177,1.0007,,,,,,
2026-06-21,group,Egypt,New Zealand,3-1,0-0,1.0733,0.7564,0.4088,0.3535,0.2376,H,H,1,0.0,0.203,0.531,0.8945,1.9267,0.2436,,,,,,
2026-06-21,group,Spain,Saudi Arabia,4-0,2-0,2.689,0.3761,0.8535,0.1195,0.0271,H,H,1,0.0,0.0111,0.0365,0.1584,1.311,0.3761,,,,,,
2026-06-21,group,Uruguay,Cape Verde,2-2,1-0,1.4913,0.4738,0.6131,0.2838,0.103,H,D,0,0.0,0.1933,0.8995,1.2594,0.5087,1.5262,,,,,,
2026-06-22,group,France,Iraq,3-0,1-0,1.7405,0.477,0.6728,0.2434,0.0839,H,H,1,0.0,0.0571,0.1733,0.3963,1.2595,0.477,,,,,,
2026-06-22,group,Norway,Senegal,3-2,1-1,1.4545,0.9054,0.4831,0.2986,0.2184,H,H,1,0.0,0.1575,0.404,0.7276,1.5455,1.0946,,,,,,
2026-06-22,group,Argentina,Austria,2-0,1-0,1.4528,0.5589,0.5772,0.2948,0.128,H,H,1,0.0,0.0976,0.282,0.5495,0.5472,0.5589,,,,,,
2026-06-22,group,Jordan,Algeria,1-2,1-1,0.926,1.651,0.1957,0.2751,0.5292,A,A,1,0.0,0.13,0.3357,0.6365,0.074,0.349,,,,,,
2026-06-23,group,Portugal,Uzbekistan,5-0,1-0,1.4287,0.6767,0.5367,0.3019,0.1614,H,H,1,0.0,0.1203,0.3318,0.6223,3.5713,0.6767,,,,,,
2026-06-23,group,Colombia,DR Congo,1-0,1-0,1.3344,0.5635,0.5427,0.3149,0.1424,H,H,1,1.0,0.1147,0.3286,0.6112,0.3344,0.5635,,,,,,
2026-06-23,group,England,Ghana,0-0,2-0,2.1276,0.3939,0.7719,0.1807,0.0474,H,D,0,0.0,0.299,1.2694,1.711,2.1276,0.3939,,,,,,
2026-06-23,group,Panama,Croatia,0-1,1-1,0.8828,1.5461,0.1993,0.2875,0.5132,A,A,1,0.0,0.1383,0.3593,0.6671,0.8828,0.5461,,,,,,
2026-06-24,group,Mexico,Czech Republic,3-0,1-1,1.813,0.8192,0.5955,0.2534,0.1512,H,H,1,0.0,0.0932,0.2507,0.5184,1.187,0.8192,,,,,,
2026-06-24,group,South Africa,South Korea,1-0,0-1,0.6993,1.4218,0.1683,0.3032,0.5285,A,H,0,0.0,0.4856,1.0631,1.7823,0.3007,1.4218,,,,,,
2026-06-24,group,Switzerland,Canada,2-1,1-1,1.1846,1.2608,0.3282,0.307,0.3648,A,H,0,0.0,0.2922,0.6787,1.1142,0.8154,0.2608,,,,,,
2026-06-24,group,Bosnia and Herzegovina,Qatar,3-1,1-1,1.6323,0.8176,0.5522,0.276,0.1717,H,H,1,0.0,0.115,0.3062,0.5938,1.3677,0.1824,,,,,,
2026-06-24,group,Morocco,Haiti,4-2,2-0,1.9889,0.4763,0.7247,0.2076,0.0677,H,H,1,0.0,0.0402,0.1235,0.322,2.0111,1.5237,,,,,,
2026-06-24,group,Brazil,Scotland,3-0,1-1,1.7589,0.8664,0.5707,0.2614,0.168,H,H,1,0.0,0.1063,0.2808,0.5609,1.2411,0.8664,,,,,,
2026-06-25,group,Curaçao,Ivory Coast,0-2,0-1,0.6033,1.6726,0.1169,0.2625,0.6206,A,A,1,0.0,0.0788,0.2266,0.4771,0.6033,0.3274,,,,,,
2026-06-25,group,Germany,Ecuador,1-2,1-1,0.9359,1.0772,0.2925,0.3412,0.3662,A,A,1,0.0,0.2436,0.6036,1.0044,0.0641,0.9228,,,,,,
2026-06-25,group,Japan,Sweden,1-1,2-0,2.106,0.7534,0.6751,0.215,0.1099,H,D,0,0.0,0.2339,1.0842,1.5373,1.106,0.2466,,,,,,
2026-06-25,group,Tunisia,Netherlands,1-3,0-1,0.646,1.6013,0.1339,0.2752,0.5909,A,A,1,0.0,0.0926,0.261,0.526,0.354,1.3987,,,,,,
2026-06-25,group,Paraguay,Australia,0-0,0-0,0.8979,0.8587,0.3267,0.3683,0.305,D,D,1,1.0,0.0999,0.5988,0.9989,0.8979,0.8587,,,,,,
2026-06-25,group,United States,Turkey,2-3,1-1,1.2947,1.862,0.253,0.253,0.494,A,A,1,0.0,0.16,0.3841,0.7053,0.7053,1.138,,,,,,
2026-06-26,group,Norway,France,1-4,1-1,1.2123,1.2425,0.3394,0.3066,0.354,A,A,1,0.0,0.2663,0.6265,1.0385,0.2123,2.7575,,,,,,
2026-06-26,group,Iraq,Senegal,0-5,0-1,0.5724,1.2682,0.1528,0.3266,0.5206,A,A,1,0.0,0.1266,0.3598,0.6527,0.5724,3.7318,,,,,,
2026-06-26,group,Saudi Arabia,Cape Verde,0-0,0-0,0.9307,0.8535,0.3387,0.365,0.2964,D,D,1,1.0,0.1013,0.6058,1.008,0.9307,0.8535,,,,,,
2026-06-26,group,Uruguay,Spain,0-1,0-1,0.6027,1.4927,0.1349,0.29,0.5751,A,A,1,1.0,0.0993,0.2828,0.5531,0.6027,0.4927,,,,,,
2026-06-26,group,Iran,Egypt,1-1,0-0,0.9495,0.8232,0.352,0.3655,0.2825,D,D,1,0.0,0.1019,0.6063,1.0065,0.0505,0.1768,,,,,,
2026-06-26,group,Belgium,New Zealand,5-1,1-1,1.7181,0.7972,0.5787,0.2646,0.1567,H,H,1,0.0,0.101,0.272,0.5469,3.2819,0.2028,,,,,,
2026-06-27,group,Croatia,Ghana,2-1,1-0,1.7057,0.6089,0.6269,0.258,0.1151,H,H,1,0.0,0.0762,0.219,0.467,0.2943,0.3911,,,,,,
2026-06-27,group,England,Panama,2-0,2-0,1.9285,0.5712,0.6867,0.2243,0.0891,H,H,1,1.0,0.053,0.1564,0.3759,0.0715,0.5712,,,,,,
2026-06-27,group,Colombia,Portugal,0-0,1-1,1.2504,1.1053,0.379,0.3128,0.3081,H,D,0,0.0,0.1193,0.7108,1.1621,1.2504,1.1053,,,,,,
2026-06-27,group,DR Congo,Uzbekistan,3-1,0-0,0.7284,0.7222,0.2983,0.407,0.2946,D,H,0,0.0,0.2896,0.7448,1.2095,2.2716,0.2778,,,,,,
2026-06-27,group,Austria,Algeria,3-3,1-1,1.0958,1.1006,0.3356,0.3265,0.338,A,D,0,0.0,0.1134,0.6805,1.1194,1.9042,1.8994,,,,,,
2026-06-27,group,Argentina,Jordan,3-1,2-0,2.1793,0.4724,0.76,0.183,0.057,H,H,1,0.0,0.0304,0.0943,0.2744,0.8207,0.5276,,,,,,
